Electric field / N (Td),Momentum frequency /N (m3/s),Mean energy (eV),Mobility *N (1/m/V/s)
1.00000E+00,1.37228E-13,3.90298E-01,1.21394E+24
2.18787E+00,1.37053E-13,4.00025E-01,1.21693E+24
5.75149E+00,1.36611E-13,4.74252E-01,1.23045E+24
1.16908E+01,1.40531E-13,6.96706E-01,1.21451E+24
2.00059E+01,1.50641E-13,1.09893E+00,1.14729E+24
3.06968E+01,1.60412E-13,1.83985E+00,1.08619E+24
4.37634E+01,1.66651E-13,2.62483E+00,1.04959E+24
5.92057E+01,1.71552E-13,3.24428E+00,1.02141E+24
7.70238E+01,1.76259E-13,3.75104E+00,9.95078E+23
9.72176E+01,1.81104E-13,4.19741E+00,9.69005E+23
1.19787E+02,1.86258E-13,4.61487E+00,9.42546E+23
1.44732E+02,1.91562E-13,5.02947E+00,9.16699E+23
1.72054E+02,1.97180E-13,5.45175E+00,8.90765E+23
2.01750E+02,2.02884E-13,5.89641E+00,8.65866E+23
2.33823E+02,2.08670E-13,6.37026E+00,8.41974E+23
2.68271E+02,2.14526E-13,6.87736E+00,8.19090E+23
3.05095E+02,2.20410E-13,7.42352E+00,7.97306E+23
3.44295E+02,2.26363E-13,8.00868E+00,7.76408E+23
3.85870E+02,2.32216E-13,8.63431E+00,7.56901E+23
4.29822E+02,2.38040E-13,9.29943E+00,7.38432E+23
4.76149E+02,2.43949E-13,1.00000E+01,7.20591E+23
5.24851E+02,2.49756E-13,1.07382E+01,7.03876E+23
5.75930E+02,2.55543E-13,1.15109E+01,6.87971E+23
6.29384E+02,2.61271E-13,1.23186E+01,6.72918E+23
6.85214E+02,2.66934E-13,1.31601E+01,6.58667E+23
7.43420E+02,2.72550E-13,1.40353E+01,6.45116E+23
8.04001E+02,2.78068E-13,1.49444E+01,6.32335E+23
8.66958E+02,2.83539E-13,1.58872E+01,6.20151E+23
9.32291E+02,2.88996E-13,1.68629E+01,6.08455E+23
1.00000E+03,2.94268E-13,1.78782E+01,5.97567E+23
