E/N (Td), Momentum frequency /N (m3/s), Mean energy (eV)
1.00000, 0.137228E-12, 0.390298
2.18787, 0.137053E-12, 0.400025
5.75149, 0.136611E-12, 0.474252
11.6908, 0.140531E-12, 0.696706
20.0059, 0.150641E-12, 1.09893
30.6968, 0.160412E-12, 1.83985
43.7634, 0.166651E-12, 2.62483
59.2057, 0.171552E-12, 3.24428
77.0238, 0.176259E-12, 3.75104
97.2176, 0.181104E-12, 4.19741
119.787, 0.186258E-12, 4.61487
144.732, 0.191562E-12, 5.02947
172.054, 0.197180E-12, 5.45175
201.750, 0.202884E-12, 5.89641
233.823, 0.208670E-12, 6.37026
268.271, 0.214526E-12, 6.87736
305.095, 0.220410E-12, 7.42352
344.295, 0.226363E-12, 8.00868
385.870, 0.232216E-12, 8.63431
429.822, 0.238040E-12, 9.29943
476.149, 0.243949E-12, 10.0000
524.851, 0.249756E-12, 10.7382
575.930, 0.255543E-12, 11.5109
629.384, 0.261271E-12, 12.3186
685.214, 0.266934E-12, 13.1601
743.420, 0.272550E-12, 14.0353
804.001, 0.278068E-12, 14.9444
866.958, 0.283539E-12, 15.8872
932.291, 0.288996E-12, 16.8629
1000.00, 0.294268E-12, 17.8782
